Fecha,Promedio,Máximo,Mínimo
2017-12-02,4.385416666666667,12.49,-1.23
2017-12-03,4.472083333333333,12.36,-1.45
2017-12-04,4.165,12.71,-1.94
2017-12-05,4.786666666666667,13.26,-0.3
2017-12-06,4.409583333333333,12.26,0.05
2017-12-07,5.812916666666666,12.84,1.27
2017-12-08,10.51,15.71,3.83
2017-12-09,15.350833333333334,18.34,13.45
2017-12-10,13.67375,14.91,12.38
2017-12-11,9.958333333333334,14.24,6.52
2017-12-12,6.8062499999999995,13.52,2.27
2017-12-13,6.885000000000001,13.44,0.45
2017-12-14,12.802916666666667,15.27,10.56
2017-12-15,11.464166666666666,14.12,3.83
2017-12-16,5.614583333333333,13.83,1.1
2017-12-17,4.371666666666667,11.63,-0.38
2017-12-18,5.355,12.96,-0.42
2017-12-19,6.360833333333333,15.76,1.21
2017-12-20,5.4312499999999995,14.0,-0.42
2017-12-21,6.485416666666667,15.58,2.14
2017-12-22,6.3620833333333335,14.77,0.83
2017-12-23,7.336666666666666,15.32,2.0
2017-12-24,6.63,14.17,1.79
2017-12-25,4.920833333333333,6.89,2.44
2017-12-26,9.18875,11.21,6.77
2017-12-27,11.998333333333333,13.76,9.77
2017-12-28,13.730833333333335,17.88,8.94
2017-12-29,15.058333333333332,17.23,12.82
2017-12-30,14.597083333333332,18.77,10.39
2017-12-31,11.494583333333333,14.61,8.85
2018-01-01,10.2075,13.71,5.51
2018-01-02,12.222083333333332,16.14,8.95
2018-01-03,14.472499999999998,18.91,12.07
2018-01-04,14.039166666666667,16.7,11.93
2018-01-05,11.508333333333333,13.49,8.34
2018-01-06,8.273333333333333,11.22,6.28
2018-01-07,7.4695833333333335,10.47,4.25
2018-01-08,5.866666666666667,11.01,2.68
2018-01-09,4.08375,6.38,1.44
2018-01-10,8.50125,11.86,5.8
2018-01-11,9.209583333333333,13.0,6.22
2018-01-12,5.402083333333334,10.21,0.48
2018-01-13,5.179166666666666,7.04,3.38
2018-01-14,6.016666666666667,9.16,1.49
2018-01-15,2.815,7.62,-0.05
2018-01-16,10.6575,17.41,4.73
2018-01-17,8.11,11.96,4.41
2018-01-18,7.632083333333333,15.75,2.6
2018-01-19,7.785,16.64,2.25
2018-01-20,10.130416666666667,18.16,2.89
2018-01-21,11.429166666666667,18.67,4.98
2018-01-22,7.190833333333334,13.21,3.89
2018-01-23,7.702916666666667,15.26,4.33
2018-01-24,7.735416666666667,15.49,4.29
2018-01-25,7.623333333333334,10.36,5.67
2018-01-26,9.354166666666666,13.81,5.85
2018-01-27,7.764583333333333,14.12,2.39
2018-01-28,8.7775,15.52,0.86
2018-01-29,11.646666666666667,16.82,8.4
2018-01-30,9.78625,16.5,4.57
2018-01-31,7.3254166666666665,14.95,2.25
2018-02-01,7.93875,14.44,4.07
2018-02-02,6.399166666666667,12.34,0.41
2018-02-03,7.023333333333333,12.46,-0.24
2018-02-04,8.250416666666666,12.9,3.58
2018-02-05,6.593333333333334,11.88,3.14
2018-02-06,6.564166666666666,11.93,0.84
2018-02-07,3.938333333333333,10.53,-2.65
2018-02-08,2.8037499999999995,11.01,-3.31
2018-02-09,4.818333333333333,10.94,-1.47
2018-02-10,6.711666666666666,14.54,1.2
2018-02-11,11.177083333333334,17.93,5.0
2018-02-12,11.19375,15.77,4.52
2018-02-13,8.057916666666666,12.42,2.35
2018-02-14,11.860416666666666,13.88,9.74
2018-02-15,13.296666666666667,15.67,11.28
2018-02-16,11.652916666666668,18.04,8.0
2018-02-17,11.014583333333334,17.15,5.8
2018-02-18,9.444166666666666,15.32,3.89
2018-02-19,10.0175,17.81,4.79
2018-02-20,11.588333333333333,19.56,3.64
2018-02-21,9.38125,17.24,2.41
2018-02-22,6.574583333333333,15.46,-0.69
2018-02-23,5.480833333333333,12.86,0.66
2018-02-24,5.465833333333333,15.19,-2.52
2018-02-25,7.2625,17.74,-1.27
2018-02-26,9.285833333333334,18.41,-0.3
2018-02-27,6.400416666666666,12.41,3.73
2018-02-28,12.290416666666667,14.62,6.05
2018-03-01,12.370833333333332,14.94,8.93
2018-03-02,9.494583333333333,12.49,7.37
2018-03-03,11.401666666666666,13.37,10.42
2018-03-04,11.6275,15.29,9.1
2018-03-05,10.242083333333333,13.86,7.77
2018-03-06,10.284166666666666,13.89,7.9
2018-03-07,9.340416666666666,13.48,4.75
2018-03-08,9.332083333333333,11.15,6.97
2018-03-09,13.329166666666666,16.2,10.7
2018-03-10,13.92125,16.31,10.44
2018-03-11,11.079583333333334,12.96,9.91
2018-03-12,12.289166666666667,15.67,9.54
2018-03-13,13.07,17.77,9.26
2018-03-14,12.768333333333333,16.12,9.93
2018-03-15,11.1325,14.02,8.77
2018-03-16,9.815,13.64,7.4
2018-03-17,10.025,12.78,8.14
2018-03-18,10.787083333333333,14.95,7.19
2018-03-19,10.272916666666667,15.12,7.19
2018-03-20,9.594583333333333,13.86,6.62
2018-03-21,8.852083333333333,16.02,0.9
2018-03-22,9.731250000000001,17.38,0.37
2018-03-23,11.391666666666666,13.85,8.39
2018-03-24,10.914583333333333,15.17,6.92
2018-03-25,11.89625,16.82,7.54
2018-03-26,12.487083333333333,19.2,3.8
2018-03-27,16.93875,24.96,10.58
2018-03-28,16.260833333333334,23.16,9.34
2018-03-29,12.295833333333334,15.42,8.78
2018-03-30,9.480833333333333,13.06,7.42
2018-03-31,10.957500000000001,16.09,6.67
2018-04-01,13.305416666666666,19.52,5.77
2018-04-02,14.260833333333332,19.93,8.68
2018-04-03,14.126666666666667,18.01,9.94
2018-04-04,13.342500000000001,17.15,10.19
2018-04-05,13.632916666666667,20.62,5.65
2018-04-06,14.792083333333332,22.76,7.52
2018-04-07,11.705416666666666,16.21,9.46
2018-04-08,11.936666666666667,16.78,7.95
2018-04-09,8.245,10.66,6.11
2018-04-10,9.610416666666667,11.64,8.08
2018-04-11,10.829583333333332,14.66,6.87
2018-04-12,9.433333333333334,12.32,6.25
2018-04-13,11.423333333333334,16.77,6.74
2018-04-14,13.7475,19.85,6.7
2018-04-15,13.09875,15.1,10.76
2018-04-16,13.284166666666666,18.55,8.99
2018-04-17,15.117916666666666,24.11,6.7
2018-04-18,18.180416666666666,26.9,8.62
2018-04-19,19.82,25.26,14.98
2018-04-20,18.567916666666665,22.95,14.07
2018-04-21,16.386666666666667,20.57,14.42
2018-04-22,16.846666666666668,21.71,13.3
2018-04-23,20.131666666666664,26.24,15.29
2018-04-24,20.64625,26.9,14.2
2018-04-25,20.949166666666667,30.5,12.83
2018-04-26,21.069583333333334,28.59,12.36
2018-04-27,18.86916666666667,23.42,13.54
2018-04-28,12.766666666666666,16.35,9.37
2018-04-29,10.742083333333333,13.8,8.06
2018-04-30,11.295833333333334,16.71,5.47
2018-05-01,12.69,19.16,6.02
2018-05-02,13.984166666666667,19.5,7.87
2018-05-03,17.07375,24.0,8.69
2018-05-04,15.43625,22.89,6.87
2018-05-05,18.268333333333334,26.74,8.3
2018-05-06,19.992083333333333,27.34,14.03
2018-05-07,20.506249999999998,26.62,13.5
2018-05-08,21.619583333333335,28.25,15.19
2018-05-09,21.101666666666667,27.35,14.51
2018-05-10,20.309166666666666,27.16,12.7
2018-05-11,20.877083333333335,26.17,15.08
2018-05-12,16.45625,19.94,12.9
2018-05-13,15.191666666666668,21.05,7.36
2018-05-14,17.27208333333333,23.88,10.27
2018-05-15,17.567083333333333,26.36,7.64
2018-05-16,20.225,28.52,11.9
2018-05-17,21.28708333333333,28.74,12.96
2018-05-18,17.319166666666668,23.06,13.01
2018-05-19,18.19875,26.72,10.56
2018-05-20,17.687916666666666,23.93,13.8
2018-05-21,18.525000000000002,25.33,11.94
2018-05-22,20.644583333333333,26.99,12.47
2018-05-23,21.8125,28.06,14.48
2018-05-24,19.815833333333334,28.71,15.96
2018-05-25,15.947916666666666,19.26,13.0
2018-05-26,17.97125,25.08,12.79
2018-05-27,19.319166666666668,26.63,14.48
2018-05-28,18.15875,23.19,14.7
2018-05-29,17.379166666666666,22.64,12.22
2018-05-30,16.695416666666667,18.54,13.44
2018-05-31,20.076249999999998,23.77,16.04
2018-06-01,18.59,23.83,13.11
2018-06-02,19.992916666666666,26.7,11.75
2018-06-03,19.87333333333333,24.92,14.07
2018-06-04,16.9375,21.2,12.33
2018-06-05,17.379166666666666,21.63,13.34
2018-06-06,19.727083333333333,25.54,14.3
2018-06-07,19.045416666666668,23.44,14.69
2018-06-08,18.5675,23.01,16.11
2018-06-09,17.31125,22.13,14.14
2018-06-10,17.365416666666665,21.6,14.62
2018-06-11,19.137083333333333,24.46,13.86
2018-06-12,22.455416666666665,29.28,15.38
2018-06-13,23.0825,30.56,13.71
2018-06-14,23.5575,33.29,12.67
2018-06-15,25.962500000000002,35.3,14.58
2018-06-16,28.10875,35.8,17.16
2018-06-17,28.955,37.18,17.82
2018-06-18,29.318749999999998,38.05,18.74
2018-06-19,29.442083333333333,37.12,22.45
2018-06-20,29.152916666666666,37.49,19.68
2018-06-21,29.854166666666668,37.24,22.75
2018-06-22,28.795416666666668,38.26,19.95
2018-06-23,30.506249999999998,40.19,20.82
2018-06-24,31.092916666666667,40.4,21.3
2018-06-25,30.0975,36.88,24.08
2018-06-26,27.966250000000002,34.88,22.17
2018-06-27,25.807083333333335,33.09,18.32
2018-06-28,26.629583333333333,32.94,18.85
2018-06-29,27.60291666666667,34.18,20.47
2018-06-30,23.511666666666667,28.77,19.44
2018-07-01,23.099999999999998,28.29,18.87
2018-07-02,22.640833333333333,26.49,17.78
2018-07-03,25.357916666666668,32.84,16.61
2018-07-04,23.4325,28.87,18.49
2018-07-05,25.12,32.33,17.84
2018-07-06,26.996666666666666,34.74,18.21
2018-07-07,29.22083333333333,36.55,21.9
2018-07-08,29.530833333333334,36.99,20.12
2018-07-09,29.7225,37.64,20.34
2018-07-10,30.60083333333333,37.41,21.05
2018-07-11,26.78375,31.98,22.38
2018-07-12,28.3225,35.18,20.59
2018-07-13,28.140833333333333,35.34,20.43
2018-07-14,27.315416666666668,33.57,20.05
2018-07-15,23.85291666666667,29.36,18.88
2018-07-16,25.80125,33.43,18.67
2018-07-17,28.6525,37.59,18.08
2018-07-18,28.610416666666666,34.72,22.85
2018-07-19,26.66333333333333,33.87,17.19
2018-07-20,26.922083333333333,33.18,19.92
2018-07-21,27.60375,34.69,18.89
2018-07-22,29.76125,36.69,24.22
2018-07-23,29.342083333333335,36.89,20.8
2018-07-24,27.51833333333333,34.6,20.73
2018-07-25,27.8125,36.2,18.55
2018-07-26,27.093333333333334,34.74,19.32
2018-07-27,27.984583333333333,35.64,19.12
2018-07-28,27.107916666666668,34.72,18.04
2018-07-29,25.88416666666667,33.38,18.5
2018-07-30,27.8425,36.14,17.68
2018-07-31,29.41,38.11,20.03
2018-08-01,31.058333333333334,40.55,20.19
2018-08-02,32.694583333333334,43.25,21.07
2018-08-03,34.816250000000004,44.96,23.95
2018-08-04,34.36958333333333,43.56,25.52
2018-08-05,32.8325,42.58,21.82
2018-08-06,33.452083333333334,44.27,23.46
2018-08-07,29.905833333333334,36.15,23.79
2018-08-08,28.26,35.83,18.24
2018-08-09,26.190416666666668,33.14,19.84
2018-08-10,27.560833333333335,35.72,18.73
2018-08-11,29.33583333333333,38.05,18.95
2018-08-12,30.29625,38.11,21.77
2018-08-13,28.739583333333332,35.51,22.32
2018-08-14,29.220416666666665,37.95,19.29
2018-08-15,29.950833333333335,38.35,20.08
2018-08-16,30.140833333333333,37.12,23.33
2018-08-17,28.957083333333333,36.11,21.27
2018-08-18,28.86708333333333,35.91,22.68
2018-08-19,30.003333333333334,36.59,23.94
2018-08-20,30.603333333333335,37.55,24.11
2018-08-21,29.64,38.4,20.77
2018-08-22,29.00375,37.06,21.8
2018-08-23,28.905,37.78,20.88
2018-08-24,29.096666666666668,38.34,19.94
2018-08-25,27.46291666666667,36.83,17.77
2018-08-26,27.772499999999997,38.15,16.89
2018-08-27,28.955416666666668,38.95,17.52
2018-08-28,28.889166666666668,34.88,22.99
2018-08-29,26.5475,35.25,18.08
2018-08-30,28.587083333333336,37.33,19.45
2018-08-31,29.602083333333336,38.64,20.54
2018-09-01,30.5525,38.59,22.05
2018-09-02,31.035,38.34,22.46
2018-09-03,27.686666666666667,32.12,23.45
2018-09-04,25.316666666666666,31.99,19.97
2018-09-05,23.748333333333335,27.33,19.95
2018-09-06,24.0675,30.98,18.81
2018-09-07,25.793333333333333,32.7,17.44
2018-09-08,23.2325,29.89,18.26
2018-09-09,22.776666666666667,31.45,16.76
2018-09-10,25.319999999999997,33.43,16.57
2018-09-11,26.52416666666667,33.4,21.4
2018-09-12,27.161666666666665,35.36,20.55
2018-09-13,27.80125,36.96,19.0
2018-09-14,26.98875,34.09,19.16
2018-09-15,26.02,34.04,18.82
2018-09-16,25.927916666666665,34.11,17.79
2018-09-17,26.31375,34.45,17.91
