Fecha,trend
2006-10-19,17.408526255707763
2006-10-20,17.407784246575343
2006-10-21,17.414912100456622
2006-10-22,17.426727168949775
2006-10-23,17.432531963470318
2006-10-24,17.434196347031964
2006-10-25,17.42084589041096
2006-10-26,17.39776712328767
2006-10-27,17.38004223744292
2006-10-28,17.36160388127854
2006-10-29,17.357904109589043
2006-10-30,17.348237442922375
2006-10-31,17.330463470319636
2006-11-01,17.307507990867578
2006-11-02,17.298972602739724
2006-11-03,17.301296803652967
2006-11-04,17.2974600456621
2006-11-05,17.290659817351596
2006-11-06,17.294924657534246
2006-11-07,17.304875570776254
2006-11-08,17.31251712328767
2006-11-09,17.314312785388125
2006-11-10,17.312949771689496
2006-11-11,17.307198630136988
2006-11-12,17.295874429223744
2006-11-13,17.277468036529683
2006-11-14,17.259737442922376
2006-11-15,17.24670662100457
2006-11-16,17.235231735159818
2006-11-17,17.233525114155253
2006-11-18,17.241861872146117
2006-11-19,17.23323287671233
2006-11-20,17.2199098173516
2006-11-21,17.214439497716896
2006-11-22,17.21201940639269
2006-11-23,17.20307191780822
2006-11-24,17.18605707762557
2006-11-25,17.16800114155251
2006-11-26,17.141011415525114
2006-11-27,17.111287671232876
2006-11-28,17.08673515981735
2006-11-29,17.05754680365297
2006-11-30,17.04160388127854
2006-12-01,17.033582191780823
2006-12-02,17.032535388127855
2006-12-03,17.02100799086758
2006-12-04,17.001236301369865
2006-12-05,16.977778538812785
2006-12-06,16.967970319634706
2006-12-07,16.957252283105024
2006-12-08,16.946115296803654
2006-12-09,16.935689497716897
2006-12-10,16.925383561643837
2006-12-11,16.90957305936073
2006-12-12,16.895341324200913
2006-12-13,16.883308219178083
2006-12-14,16.871541095890414
2006-12-15,16.86139269406393
2006-12-16,16.860684931506853
2006-12-17,16.856962328767125
2006-12-18,16.850850456621007
2006-12-19,16.83023287671233
2006-12-20,16.809585616438355
2006-12-21,16.78802397260274
2006-12-22,16.764954337899546
2006-12-23,16.748632420091326
2006-12-24,16.747479452054797
2006-12-25,16.74365068493151
2006-12-26,16.73959703196347
2006-12-27,16.734237442922375
2006-12-28,16.730535388127855
2006-12-29,16.722382420091325
2006-12-30,16.71547488584475
2006-12-31,16.701554794520547
2007-01-01,16.695383561643837
2007-01-02,16.698683789954337
2007-01-03,16.700085616438354
2007-01-04,16.703022831050227
2007-01-05,16.704982876712325
